,prompt
8914,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these bad. we have conversation before. oh yes that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is bad. we have had this conversation before. oh yes that is right."
8915,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
nomadic life tribe. those is i not just use word. mm okay it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
nomadic life is a tribe. that is not i did not just use that word. mm okay it is."
8916,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
times christ. there be a jew. that is era we are talking.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
time of christ. so then there was a jew. that is not the era we are talking about."
8917,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think just of historical contexts of come erm. erm how say. having come from cultural history.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think just because of the historical context of having come from erm. erm how to say. having come from a very distinct cultural history."
8918,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i imagine. you want be do it. do you have learn language.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i can imagine. you do not want to be doing it. do you have to learn the language."
8919,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
probably i know. yeah be. in shops.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
probably i do not know. yeah could well be. in that shop."
8920,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is like where they. clocked time. clocked the time.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is like where should they be. clocked all the time. clocked all the time."
8921,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well he do. he was the light norway. what that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well he would not do. he was on the lights in norway. what is that."
8922,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you. oh it a state then. yeah it states.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cannot you. oh it was in a state then. yeah it was in a state."
8923,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah it. it go that. they not bad then.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah it was. it would go like that. they were not so bad then."
8924,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
was that i do it it. it only what it nineteen twenty quid not it. that about nineteen twenty quid was it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
was not that i was doing it for was it. it was only about what was it about nineteen twenty quid was not it. that was about nineteen to twenty quid was not it."
8925,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah this happened but it she quite. but it happen todays. well that what you up is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that could have happened but it did not she was quite good. but it is likely would happen today. well that is what you are up against is it not."
8926,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
mm times change have they. and i need i need tips ten percents. you tip when you go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
mm times have changed have not they. and i need i need a big tip as well ten percent. do you tip when you go to."
8927,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
because palestine want be nations but israel let them. these is how it all. but it truth.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
because palestine wants to be a nation but israel will not let them. that is not how simple it is at all. but it is the truth."
8928,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos who the people control in palestine it hezbollah it. it is one. hamas is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos who are the people in control in palestine it is not hezbollah is it. it is the other one. hamas is not it."
8929,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
west bank. mm and it rabin the times. and he assassinate.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the west bank. mm and was it rabin in at the time. and he was assassinated."
8930,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it would boring if she. read books. cos presumably book finished.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it would be far too boring if she was not. could always read the books. cos presumably the books are finished."
8931,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well this played down. it. you even.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well that was really played down. it was ridiculous. you could not even."
8932,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you be. prepare take advantage. as i think the.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you should be. prepared to take advantage. as in i think the odd."
8933,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think you win. but you sorts it is exactly its kind game. it er yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think you would have won. but you are good at that sort of it is exactly your kind of game. it is er yeah."
8934,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that could worked well. but needless say. it not me.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that could have worked quite well. but needless to say. it was not me."
8935,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is. it about market. and it it for this.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is not. it is about markets. and it is not it was not for that."
8936,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
obviously it not do tyre. it do. that right yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
obviously it will not do for tyres. it will not do. that is right yeah."
8937,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
or have another. have one. take it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
or have a another. have another one. just take it."
8938,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no they were they. maximum speed. seventy mile hours.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no they were not were they no. the maximum speed. seventy mile an hour."
8939,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you know what. it it automatic. but you know it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do you know what. it is automatic. but you would not know it."
8940,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
there not problems. it is likely happen it. mm this right.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
there should not be a problem. it is not likely to happen is it. mm that is right."
8941,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so it better days normal. not it. yeah it better days yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so it was a better day than normal. was not it. yeah it was a better day than normal yeah."
8942,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and one them. loft the. trapdoor into its right.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and one of them is. the loft the. the trapdoor into my loft right."
8943,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you know it is go. that would. would it yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you know it is going to be. that would be. would not it yeah."
8944,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah that like much. no flours it. it pretty much sugars.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is like pretty much. no flour in it. it is pretty much just sugar."
8945,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it always best bit. want to go works tomorrow. i had day and like it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is always the best bit. do not want to go back to work tomorrow. i have had quite a few days off and like it is."
8946,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
great her birthdays. yeah er they. oh really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
great for your birthday. yeah exactly er they. oh really good."
8947,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but she she pleasant. yeah and. she nice.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but she was she was pleasant. yeah and so. she was nice."
8948,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i recommend berlin though berlin is places. it going. really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i definitely recommend berlin though berlin is an incredible place. is it worth going to. really fun."
8949,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
to live. uhu which yeah. which you that is.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
to live in. uhu which is yeah. which is well cos you that is."
8950,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
which london. live. yeah it yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
which is not london. live outside of. yeah so it is yeah."
8951,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i do. and for like two bedrooms. it really ridiculous it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i do not. and for like a two bedroom flat. it is really ridiculous is not it."
8952,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i do. i know i do. you need yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not. i do not know i do not. you need to yeah."
8953,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
just do like it all. i like christmas. it really boring.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just do not like it at all. i do like christmas. it is really boring."
8954,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i. it just weathers or. it really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i am not. it is just awful weather like or. it really is."
8955,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what hells. and i just. you just good eaters.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what the hell. and i was just like. you are just a good eater."
8956,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is. it good. and many people.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is good. it is so good. and so many people."
8957,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you. it a last years not it. it expensive.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
are you not. is it was a grand last year was not it. it was so expensive."
8958,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it kind like. it is. thousand pound a holiday a lot it a shitload money.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is kind of like. it is so expensive. a thousand pounds for a holiday is a lot it is a shitload of money."
8959,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think sun. holiday winter. that your two.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think any sun. holidays in winter. that was probably my first two."
8960,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you have to go the ways. much on the edges the peak district. so it is too actually.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so you have to go all the way round past near. pretty much so on the edge of the peak district. so it is not too far actually."
8961,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you work weeks. i works day. the day.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you are off work that week. i am off work that day. just the day."
8962,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this work really. right i weeks. see what i do this tuna.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that will work really well. so right i will be off that week. just see what i can do with this tuna."
8963,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and these on. that not. you know it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and that is not on. that is not on. you know it is."
8964,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what we do. we do seventeen minute you with that. that fine.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
now what have we done. we have done seventeen minutes are you happy with that. that is fine."
8965,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh god why she that usual. i do know. i hear of anyone.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh god why was she sick is that usual. i do not know. i have not heard of anyone being sick."
8966,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
which been. twelve days. and she not.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
which would have been. twelve days late. and she was not."
8967,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i do know. if she would. she even.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not know. if she would been. she may not even have been."
8968,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that bloke not it. yeah i think. anyway tell me.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that was a bloke was not it. yeah i thought so. anyway tell me about."
8969,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it meal. it there. it nice meals.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
was it a nice meal. was it nice there. it was a nice meal actually."
8970,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she work there long times but. usually saturday nights she a. thursday shift.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
apparently she is worked there a long time but not. usually on a saturday night she usually does a. a thursday shift."
8971,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i. she still live round corners. she still live corners.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am not sure. is she still living round the corner. she is still living round the corner."
8972,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cases there was trouble worry. old protection rackets. not worry er.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
in case there was ever any trouble do not worry. the old protection racket. do not worry er."
8973,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah well it have been i. i think they only just get there. he cos i seen him he gone.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah well it must have been after then so i was. i think they would only just got there as well. he was cos i had not seen him he would gone to."
8974,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i get ninth its diaries. it is monday it a tuesday. it monday.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have got the ninth in my diary. it is a monday is it not a tuesday. it is a monday."
8975,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well it second today. it will it monday. it then.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well it is the second today. it will be the it will be monday. it is the ninth then."
8976,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and i going do starter early. you need cook. you need to cook.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and i am going to do the starter early. you do not need to cook. you do not need to cook."
8977,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i say her challenge. and ham. be make sure it not sixteen pound turkey.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i said my biggest challenge will. and a ham. will be to make sure it is not a sixteen pound turkey."
8978,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
because he was. oh you joking. old person office.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
because he was asleep. oh you are joking. these old people in the office."
8979,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know. onto me right. he sat he have my laptops front of him.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
there i know. right onto me right. he was sat right so he had his laptop in front of him."
8980,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
how he. he than us is he. well she only.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
how old is he. he is younger than us is not he. well she was only."
8981,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she only forty one. you sure. do we.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she is only forty one so. are you sure. did not we."
8982,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
mm but i really worried. to clarinets hopefully we stay on second. what clarinet one.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
mm but i am really worried about. to whatever clarinet hopefully we will stay on the second. what to clarinet one."
8983,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this what she like. that proper evils. and it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is what she was like. that is the proper evils. and it was."
8984,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she a bit. i know. it makes it bit too like.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she is a little bit. i do not know. it just makes it all a bit too like."
8985,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we laugh you how why. kinds monster. you think i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we would never laugh at you how why. what kind of monster. do you think i am am."
8986,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
not watch this. it out dvd. i sure it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
still have not watched that. is it out on dvd. i am sure it is."
8987,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that require you. used put word in right orders. require that that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that requires you to. be used to putting the words in the right order. does not require that."
8988,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think i had sandwich. should have croissants. well you got tin foil.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think i have had enough sandwich. should not have had that croissant. well you have still got the tin foil."
8989,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
be nice. i am for her coming. nice.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
should be nice. i am quite excited for her coming. should be nice."
8990,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
nothing particularly that text. she alive. positive noises.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
nothing particularly interesting in that text. she is alive. positive noises anyway."
8991,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that one near carlisle. oh that oh. the one um.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is the one near carlisle. oh that is a oh. the one in um."
8992,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it it big. i love horses. they that small but they so cute.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was like this big. i love tiny horses. they were not that small but they are so cute."
8993,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it not. yeah i mean it like it young. it was quite young.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was not. yeah i mean it was not like it was extremely young. it was just probably quite young."
8994,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh that alright. i terribly concerned. ours just.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh that is alright then. i was not terribly concerned. ours is just cold."
8995,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
which what happen minute i think. which is really. it best seats the house.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
which is what has happened at the minute i think. which is really good. it is the best seats in the house."
8996,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh i heating up. this. that staying homes tomorrow.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh i am actually heating up. this is lovely. that is staying at home tomorrow."
8997,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i worn black shirt. shirts. i wear black shirts.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i should have worn a black shirt. a what shirt. i should have worn a black shirt."
8998,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
in. it. which educations divisions.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is not in there. is it not. which is the education division of."
8999,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it one. oh one that. oh it well it one those.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was the first one. oh one of those. oh it well it is not one of those."
9000,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
or maybe they. yeah in future. i going have one that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
or maybe they could. yeah in the future. i am going to have one of these."
9001,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
even for one. for one. i talk this one.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
even for the top one. even for that one. i am talking about for this one."
9002,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
less or exes. or equal. which xx uh less or touhs.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is less than or equal to ex. is less than or equal to. which is xx uh less than or equal touh."
9003,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know this one so. you know how to do ones. we in troubles.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not know this one so. you do not know how to do this one. so we in trouble."
9004,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so get math over. i got it over out of high school. she looks tired.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so long to get math over with. i should have got it over with right out right out of high school. she looks so tired."
9005,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
to side. to sides. to sides.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
to which side. to both sides. to both sides."
9006,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well it far my controls. well and thing i mean. we we board.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well it was far beyond our control. well and the thing is i mean. we are a different board."
9007,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
everybody nancies. have very little. you know agree with validities.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
everybody there including nancy. had very little to to. you know to agree with the validity."
9008,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
our positions different. yeah that. a.s
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
your position is different. yeah that is true. yours is in a."
9009,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
sure we. the things uh i do. i need b.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
sure we are. the thing is uh i do not. i need to b."
9010,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
has taken an interests retirements bits. it surprise me. well she begun listen.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
has taken such an interest in this retirement bit. it really surprises me. well she is begun to listen."
9011,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and hundred mile. it a. it is just people areas.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and a hundred miles of. it is a. it is just people around in that area."
9012,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that. those an idea. instead of having parade around look it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
now that is. that is an idea. instead of having to parade all around looking for it."
9013,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well does. we get paper todays. they were go send copy.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well is the do. we should get a paper today. they were going to send a copy."
9014,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
your positions workforce. i trying think word. numbers person.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
your position in the workforce. i am trying to think of the word. numbers of people."
9015,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it. it relational. powers relational.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is relative. it is relational. power is relational."
9016,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think. i not think there be trust. trust system.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not think. i do not think there is as much trust. trust in the system."
9017,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
do they. they not make regulars. i do know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do not they. they do not make a regular. i do not know."
9018,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i hope you. wendy try his hand time at making a clue. oh clues.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i hope you are happy. wendy has tried her hand for the first time at making a clue. oh a clue."
9019,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
kevin just open your mouth. i am go give you kiss. open your mouths.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
kevin just do not open your mouth again. i am going to give you a mushy kiss. do not ever open your mouth again."
9020,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i thinking it. are they going to ct. church.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
at i was thinking it was. are they going to ct. some little bitty church."
9021,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these clue. she might mentioned but that is clue. i was thinking it wishing you day treasures.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is the clue. she might not have mentioned but that is the clue. i was thinking it was wishing you a day of little treasures."
9022,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he is mas. he an ma. oh he mas.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he is an ma. he is an ma. oh he is an ma."
9023,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah i say. we ends. well i do.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah i would say. we have end. well i do not."
9024,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think we will take ends tables bulgaria. i sure we. we end tables.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not think we will be taking the end tables to bulgaria. i am sure we will not. we have end tables."
9025,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
woods one. what they. and hind ends.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the wood ones. what are they. and the hind end."
9026,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
birthdays you. birthdays you. birthdays you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
happy birthday to you. birthday to you. birthday to you."
9027,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
birthdays dear kendra. they trick candles. birthdays you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
happy birthday dear kendra. they are those trick candles. happy birthday to you."
9028,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
one times. kinds cake. white cake that kind icing.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
one more time. that kind of cake. white cake with that kind of icing."
9029,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well it smallest i think. yeah this. as far sizes.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well it was the smallest i could think of. yeah this is good. as far as size."
9030,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
kelly there. this right. we leave him and go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
kelly will be there. that is right. we will just leave him and go."
9031,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i go rita. you know that. she tell you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i go to rita. did you know that. did she tell you."
9032,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
just questions. from mechanic. who going hold accounts.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just a question. from a mechanics. who is going to hold the account."
9033,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
since fifs. since fifty. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
since the fif. since the fifties. it was illegal."
9034,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
state department know everybody that went nicaragua. but person go cuba times. they know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
would not the state department know everybody that went to nicaragua. but people go to cuba all the time. would not they know."
9035,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what it you get d medicines cabinets. look it. i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is it you have got a d medicine cabinet. looks like it. i cannot bel."
9036,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you have no reasons mis. you miserable at. there is one reasons there.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you have no reason to be mis. you are not miserable at all. there is one of the reasons right there."
9037,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah right right. yeah it is thing. it just generals.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah right right. yeah it is the same thing. it is just a general."
9038,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this he checking her out. i think it gotten foreplay yet. yes it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this is he is checking her out. i do not even think it is gotten to the foreplay yet. yes it could be."
9039,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
his tail curve these. it always get curved those. i i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
his tail is curved like that. does it always get curved like that. i do not know."
9040,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i mean i. i imagine. it incredible.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i mean i. i just cannot imagine. it is incredible."
9041,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she did cross. for fish. for fish.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she did the cross. for the fish. for the fish."
